prot_CD3
prot_CD5
prot_TCRab
prot_CD4
prot_CD45RA
prot_CXCR4
prot_CD45RO
prot_CCR4
prot_CCR6
prot_CD103
prot_CD127
prot_OX40
prot_CD69
prot_CTLA-4
prot_CD25
prot_CD28
prot_LAG-3
prot_HLA-DR
prot_ICOS
prot_CXCR3
prot_PD-1
prot_CXCR5
prot_BTLA
prot_CD18
prot_CD226
prot_CD154
prot_CD8
prot_NKG2D
prot_CD57
prot_TCRVa7-2
prot_CD161
prot_TCRVd2
prot_KLRG1
prot_CD56
prot_CD11c
prot_CD38
prot_CD7
prot_CD16
