CD19
MS4A1
SOX4
TCL1A
IGHD
IGHM
CD69
CD24
FOXP1
IFITM1
IRF7
CD27
CD38
BCL6
MME
MKI67
MT-CO2
CD1C
IGHA1
IGHG1
IGHG3
SDC1
#PAX5
#CXCR4
#CD83
