prot_CD3
prot_CD4
prot_CD45RA
prot_CD45RO
prot_PD-1
prot_CD25
prot_ICOS
prot_CXCR3
prot_CXCR5
prot_BTLA
prot_CD154
prot_CD57
prot_OX40
prot_CXCR4
