prot_CD86
prot_PD-L1
prot_CD270
prot_CD155
prot_CD112
prot_CD47
prot_CD48
prot_CD40
prot_CD154
prot_CD52
prot_CD3
prot_CD8
prot_CD56
prot_CD19
prot_CD33
prot_CD11c
prot_HLA-ABC
prot_CD45RA
prot_CD123
prot_CD7
prot_CD105
prot_CD49f
prot_CCR4
prot_CD4
prot_CD44
prot_CD14
prot_CD16
prot_CD25
prot_CD45RO
prot_PD-1
prot_TIGIT
#prot_isotype_mIgG1
#prot_isotype_mIgG2a
#prot_isotype_mIgG2b
#prot_isotype_rIgG2b
prot_CD20
prot_CD335
prot_CD31
prot_CD146
prot_IgM
prot_CD5
prot_CXCR3
prot_CCR5
prot_CD32
prot_CCR6
prot_CXCR5
prot_CD103
prot_CD69
prot_CD62L
prot_CD161
prot_CTLA-4
prot_LAG-3
prot_KLRG1
prot_CD27
prot_CD107a
prot_Fas
prot_OX40
prot_HLA-DR
prot_CD1c
prot_CD11b
prot_CD64
prot_CD141
prot_CD1d
prot_NKG2D
prot_CD35
prot_CD57
prot_BTLA
prot_ICOS
prot_CD58
prot_CD39
prot_CX3CR1
prot_CD24
prot_CD21
prot_CD11a
prot_CD79b
prot_CD244
prot_CD169
prot_ITGB7
prot_BAFF-R
prot_CD42b
prot_CD54
prot_CD62P
prot_CD119
prot_TCRab
#prot_isotype_rIgG1
#prot_isotype_rIgG2a
#prot_isotype_aIgG
prot_CD122
prot_TACI
prot_FCER1
prot_CD41
prot_CD137
prot_CD163
prot_CD83
prot_IL-4Ra
prot_CD13
prot_CD2
prot_CD226
prot_CD29
prot_CD303
prot_CD49b
prot_CD81
prot_IgD
prot_CD18
prot_CD28
prot_CD38
prot_CD127
prot_CD45
prot_CD22
prot_CD71
prot_CD26
prot_CD36
prot_CD158
prot_CD49a
prot_CD49d
prot_CD73
prot_TCRVa7-2
prot_TCRVd2
prot_LOX-1
prot_CD158b
prot_CD158e1
prot_CD319
prot_CD99
prot_CLEC12A
prot_CD352
prot_CD94
prot_IgLk
prot_CD85j
prot_CD23
prot_IgLl
prot_CD328
prot_GPR56
prot_HLA-E
prot_CD82
prot_CD101
prot_CD88
prot_CD224
prot_CXCR4
prot_ICOSL
prot_CD45RB
prot_TCRyd
prot_CCR7
#prot_HisTag-C1132
#prot_Streptavidin-C0990
#prot_Streptavidin-C0996
