S100A8
S100A9
CD14
FCGR3A
C1QA
CD68
NRP1
CST3
XCR1
CLEC9A
CD1C
FCER1A
pct_counts_rp
LAMP3
IL7R
IRF7
GZMB
LILRA4
CPA3
CMA1
CD69
CD34
PI16
PDPN
