CD3E
TRAC
CD4
CCR7
SELL
CD27
CXCR5
PDCD1
IL2RA
FOXP3
CD28
IL7R
CD69
BACH2
CD8A
CCL5
GZMK
TRDV2
TRGC1
TRAV1-2
KLRB1
KIT
SOX4
NCAM1
NCR1
GZMB
FCGR3A
GATA3
RORC
ZBTB16
CD19
MS4A1
TCL1A
IGHD
IGHM
CD24
CD38
PAX5
CD1C
IGHA1
IGHG1
IGHG3
BCL6
MME
MKI67
SDC1
CST3
S100A8
CD14
C1QA
FCER1A
LAMP3
XCR1
CLEC9A
LILRA4
IRF7
CMA1
CPA3
PDPN
CD34
PI16
