#prot_CD20
prot_CD19
prot_IgM
prot_IgD
prot_CD23
prot_CD352
prot_CXCR4
prot_CD83
prot_CD86
prot_PD-L1
prot_CD54
prot_CD40
prot_HLA-DR
prot_CD27
prot_CD35
prot_CD45RB
prot_CD24
prot_CD21
prot_CD1c
prot_CD32
prot_CD49d
prot_CD38
