prot_CD45
prot_CD11b
prot_CD18
prot_CLEC12A
prot_CD14
prot_CD16
prot_CD49d
prot_CD103
prot_CD11c
prot_CD49b
prot_CD49a
prot_CD127
prot_CD328
prot_CD33
prot_CD81
prot_CD24
prot_CD13
prot_CD1c
prot_HLA-DR
prot_PD-L1
prot_CD44
prot_CD123
prot_FCER1
prot_CD69
prot_CD99
prot_CD73
